2000 20222
1 11 1
1 25 1
1 115 1
1 257 1
1 295 1
1 297 1
1 401 1
1 422 1
1 629 1
1 748 1
1 866 1
1 1019 1
1 1064 1
1 1312 1
1 1399 1
1 1635 1
1 1692 1
1 1720 1
2 19 1
2 156 1
2 246 1
2 581 1
2 630 1
2 684 1
2 690 1
2 1104 1
2 1328 1
2 1335 1
2 1635 1
2 1964 1
3 62 1
3 161 1
3 223 1
3 286 1
3 299 1
3 307 1
3 332 1
3 419 1
3 620 1
3 629 1
3 851 1
3 979 1
3 1021 1
3 1023 1
3 1053 1
3 1145 1
3 1213 1
3 1325 1
3 1412 1
3 1924 1
4 32 1
4 414 1
4 492 1
4 546 1
4 552 1
4 723 1
4 884 1
4 912 1
4 935 1
4 1007 1
4 1031 1
4 1032 1
4 1055 1
4 1079 1
4 1351 1
4 1550 1
4 1627 1
4 1673 1
4 1700 1
4 1838 1
4 1947 1
5 32 1
5 105 1
5 202 1
5 389 1
5 455 1
5 622 1
5 758 1
5 853 1
5 1137 1
5 1275 1
5 1295 1
5 1453 1
5 1544 1
5 1582 1
5 1663 1
5 1690 1
5 1814 1
5 1933 1
6 37 1
6 156 1
6 355 1
6 417 1
6 644 1
6 703 1
6 880 1
6 1087 1
6 1102 1
6 1190 1
6 1230 1
6 1233 1
6 1452 1
6 1499 1
6 1730 1
6 1853 1
6 1945 1
6 1972 1
6 1984 1
7 94 1
7 102 1
7 111 1
7 510 1
7 521 1
7 566 1
7 571 1
7 796 1
7 889 1
7 1091 1
7 1177 1
7 1332 1
7 1477 1
7 1508 1
7 1531 1
7 1666 1
7 1989 1
8 45 1
8 216 1
8 248 1
8 358 1
8 410 1
8 479 1
8 695 1
8 1077 1
8 1173 1
8 1309 1
8 1353 1
8 1441 1
8 1454 1
8 1626 1
8 1701 1
8 1869 1
9 76 1
9 124 1
9 187 1
9 356 1
9 423 1
9 438 1
9 468 1
9 737 1
9 738 1
9 938 1
9 1084 1
9 1109 1
9 1114 1
9 1119 1
9 1267 1
9 1454 1
9 1702 1
9 1750 1
9 1829 1
9 1929 1
10 106 1
10 148 1
10 202 1
10 590 1
10 606 1
10 649 1
10 711 1
10 760 1
10 854 1
10 882 1
10 912 1
10 1022 1
10 1077 1
10 1193 1
10 1206 1
10 1238 1
10 1306 1
10 1308 1
10 1320 1
10 1473 1
10 1475 1
10 1559 1
10 1794 1
10 1917 1
11 26 1
11 32 1
11 98 1
11 108 1
11 179 1
11 202 1
11 240 1
11 289 1
11 322 1
11 845 1
11 867 1
11 1156 1
11 1192 1
11 1252 1
11 1255 1
11 1407 1
11 1703 1
11 1715 1
11 1891 1
12 42 1
12 130 1
12 160 1
12 250 1
12 281 1
12 457 1
12 483 1
12 570 1
12 617 1
12 637 1
12 719 1
12 923 1
12 1016 1
12 1042 1
12 1376 1
12 1391 1
12 1430 1
12 1436 1
12 1439 1
12 1675 1
12 1688 1
12 1752 1
12 1831 1
12 1833 1
12 1882 1
12 1924 1
13 17 1
13 45 1
13 277 1
13 301 1
13 379 1
13 457 1
13 651 1
13 821 1
13 894 1
13 958 1
13 1310 1
13 1588 1
13 1596 1
13 1609 1
13 1677 1
13 1688 1
14 285 1
14 364 1
14 544 1
14 579 1
14 727 1
14 821 1
14 896 1
14 938 1
14 1225 1
14 1243 1
14 1257 1
14 1270 1
14 1532 1
14 1843 1
14 1977 1
15 44 1
15 90 1
15 125 1
15 307 1
15 319 1
15 477 1
15 518 1
15 707 1
15 923 1
15 962 1
15 1010 1
15 1069 1
15 1158 1
15 1186 1
15 1216 1
15 1298 1
15 1637 1
15 1768 1
15 1781 1
15 1798 1
16 260 1
16 294 1
16 412 1
16 480 1
16 546 1
16 567 1
16 646 1
16 795 1
16 847 1
16 892 1
16 911 1
16 947 1
16 1119 1
16 1135 1
16 1158 1
16 1164 1
16 1203 1
16 1399 1
16 1488 1
16 1509 1
16 1542 1
16 1583 1
16 1777 1
17 132 1
17 334 1
17 449 1
17 459 1
17 502 1
17 675 1
17 1039 1
17 1041 1
17 1069 1
17 1076 1
17 1224 1
17 1405 1
17 1536 1
17 1590 1
17 1786 1
18 197 1
18 252 1
18 394 1
18 608 1
18 1041 1
18 1103 1
18 1118 1
18 1357 1
18 1373 1
18 1618 1
18 1631 1
18 1771 1
18 1872 1
18 1976 1
19 30 1
19 178 1
19 199 1
19 324 1
19 437 1
19 559 1
19 567 1
19 595 1
19 689 1
19 722 1
19 747 1
19 757 1
19 1014 1
19 1191 1
19 1293 1
19 1302 1
19 1409 1
19 1436 1
19 1486 1
19 1546 1
19 1678 1
19 1750 1
19 1776 1
19 1783 1
19 1850 1
19 1907 1
20 62 1
20 220 1
20 245 1
20 383 1
20 399 1
20 467 1
20 857 1
20 957 1
20 1174 1
20 1218 1
20 1233 1
20 1244 1
20 1313 1
20 1425 1
20 1449 1
20 1466 1
20 1525 1
20 1564 1
20 1775 1
20 1791 1
21 109 1
21 120 1
21 132 1
21 174 1
21 637 1
21 702 1
21 826 1
21 900 1
21 985 1
21 1016 1
21 1090 1
21 1604 1
21 1730 1
21 1814 1
22 425 1
22 467 1
22 489 1
22 782 1
22 929 1
22 1065 1
22 1113 1
